Year;Month;Day type;Time;Appliances;Power (MW)
2015;1;weekday;00:00:00;Others;272.7451036
2015;1;weekday;01:00:00;Others;221.6987906
2015;1;weekday;02:00:00;Others;197.4295889
2015;1;weekday;03:00:00;Others;225.4347614
2015;1;weekday;04:00:00;Others;216.2212519
2015;1;weekday;05:00:00;Others;231.4153224
2015;1;weekday;06:00:00;Others;241.4390994
2015;1;weekday;07:00:00;Others;209.5929819
2015;1;weekday;08:00:00;Others;259.6381007
2015;1;weekday;09:00:00;Others;299.8724163
2015;1;weekday;10:00:00;Others;336.3305984
2015;1;weekday;11:00:00;Others;480.7670443
2015;1;weekday;12:00:00;Others;406.4007403
2015;1;weekday;13:00:00;Others;277.6735212
2015;1;weekday;14:00:00;Others;293.5367938
2015;1;weekday;15:00:00;Others;271.2199217
2015;1;weekday;16:00:00;Others;184.7551388
2015;1;weekday;17:00:00;Others;193.0232184
2015;1;weekday;18:00:00;Others;281.7071105
2015;1;weekday;19:00:00;Others;245.0010133
2015;1;weekday;20:00:00;Others;205.2049354
2015;1;weekday;21:00:00;Others;127.3795245
2015;1;weekday;22:00:00;Others;146.2019752
2015;1;weekday;23:00:00;Others;208.8461164
2015;2;weekday;00:00:00;Others;272.7451036
2015;2;weekday;01:00:00;Others;221.6987906
2015;2;weekday;02:00:00;Others;197.4295889
2015;2;weekday;03:00:00;Others;225.4347614
2015;2;weekday;04:00:00;Others;216.2212519
2015;2;weekday;05:00:00;Others;231.4153224
2015;2;weekday;06:00:00;Others;241.4390994
2015;2;weekday;07:00:00;Others;209.5929819
2015;2;weekday;08:00:00;Others;259.6381007
2015;2;weekday;09:00:00;Others;299.8724163
2015;2;weekday;10:00:00;Others;336.3305984
2015;2;weekday;11:00:00;Others;480.7670443
2015;2;weekday;12:00:00;Others;406.4007403
2015;2;weekday;13:00:00;Others;277.6735212
2015;2;weekday;14:00:00;Others;293.5367938
2015;2;weekday;15:00:00;Others;271.2199217
2015;2;weekday;16:00:00;Others;184.7551388
2015;2;weekday;17:00:00;Others;193.0232184
2015;2;weekday;18:00:00;Others;281.7071105
2015;2;weekday;19:00:00;Others;245.0010133
2015;2;weekday;20:00:00;Others;205.2049354
2015;2;weekday;21:00:00;Others;127.3795245
2015;2;weekday;22:00:00;Others;146.2019752
2015;2;weekday;23:00:00;Others;208.8461164
2015;3;weekday;00:00:00;Others;272.7451036
2015;3;weekday;01:00:00;Others;221.6987906
2015;3;weekday;02:00:00;Others;197.4295889
2015;3;weekday;03:00:00;Others;225.4347614
2015;3;weekday;04:00:00;Others;216.2212519
2015;3;weekday;05:00:00;Others;231.4153224
2015;3;weekday;06:00:00;Others;241.4390994
2015;3;weekday;07:00:00;Others;209.5929819
2015;3;weekday;08:00:00;Others;259.6381007
2015;3;weekday;09:00:00;Others;299.8724163
2015;3;weekday;10:00:00;Others;336.3305984
2015;3;weekday;11:00:00;Others;480.7670443
2015;3;weekday;12:00:00;Others;406.4007403
2015;3;weekday;13:00:00;Others;277.6735212
2015;3;weekday;14:00:00;Others;293.5367938
2015;3;weekday;15:00:00;Others;271.2199217
2015;3;weekday;16:00:00;Others;184.7551388
2015;3;weekday;17:00:00;Others;193.0232184
2015;3;weekday;18:00:00;Others;281.7071105
2015;3;weekday;19:00:00;Others;245.0010133
2015;3;weekday;20:00:00;Others;205.2049354
2015;3;weekday;21:00:00;Others;127.3795245
2015;3;weekday;22:00:00;Others;146.2019752
2015;3;weekday;23:00:00;Others;208.8461164
2015;4;weekday;00:00:00;Others;272.7451036
2015;4;weekday;01:00:00;Others;221.6987906
2015;4;weekday;02:00:00;Others;197.4295889
2015;4;weekday;03:00:00;Others;225.4347614
2015;4;weekday;04:00:00;Others;216.2212519
2015;4;weekday;05:00:00;Others;231.4153224
2015;4;weekday;06:00:00;Others;241.4390994
2015;4;weekday;07:00:00;Others;209.5929819
2015;4;weekday;08:00:00;Others;259.6381007
2015;4;weekday;09:00:00;Others;299.8724163
2015;4;weekday;10:00:00;Others;336.3305984
2015;4;weekday;11:00:00;Others;480.7670443
2015;4;weekday;12:00:00;Others;406.4007403
2015;4;weekday;13:00:00;Others;277.6735212
2015;4;weekday;14:00:00;Others;293.5367938
2015;4;weekday;15:00:00;Others;271.2199217
2015;4;weekday;16:00:00;Others;184.7551388
2015;4;weekday;17:00:00;Others;193.0232184
2015;4;weekday;18:00:00;Others;281.7071105
2015;4;weekday;19:00:00;Others;245.0010133
2015;4;weekday;20:00:00;Others;205.2049354
2015;4;weekday;21:00:00;Others;127.3795245
2015;4;weekday;22:00:00;Others;146.2019752
2015;4;weekday;23:00:00;Others;208.8461164
2015;5;weekday;00:00:00;Others;272.7451036
2015;5;weekday;01:00:00;Others;221.6987906
2015;5;weekday;02:00:00;Others;197.4295889
2015;5;weekday;03:00:00;Others;225.4347614
2015;5;weekday;04:00:00;Others;216.2212519
2015;5;weekday;05:00:00;Others;231.4153224
2015;5;weekday;06:00:00;Others;241.4390994
2015;5;weekday;07:00:00;Others;209.5929819
2015;5;weekday;08:00:00;Others;259.6381007
2015;5;weekday;09:00:00;Others;299.8724163
2015;5;weekday;10:00:00;Others;336.3305984
2015;5;weekday;11:00:00;Others;480.7670443
2015;5;weekday;12:00:00;Others;406.4007403
2015;5;weekday;13:00:00;Others;277.6735212
2015;5;weekday;14:00:00;Others;293.5367938
2015;5;weekday;15:00:00;Others;271.2199217
2015;5;weekday;16:00:00;Others;184.7551388
2015;5;weekday;17:00:00;Others;193.0232184
2015;5;weekday;18:00:00;Others;281.7071105
2015;5;weekday;19:00:00;Others;245.0010133
2015;5;weekday;20:00:00;Others;205.2049354
2015;5;weekday;21:00:00;Others;127.3795245
2015;5;weekday;22:00:00;Others;146.2019752
