respondent_id,household_size
118867014490,4
118867103472,2
118867106782,2
118867102635,3
118867095560,6
118867093389,2
118867085559,4
118867081746,6
118867081624,2
118867080434,3
118867074861,4
118867075571,2
118867072484,2
118867062931,3
118867061539,4
118867060721,1
118867051868,1
118867051937,1
118867049431,1
118867048965,2
118867015928,4
118867045143,1
118867046914,5
118867037998,5
118867044486,2
118866955443,2
118867044801,1
118867044223,2
118867043137,4
118867044118,4
118867043576,4
118867041751,3
118867040792,2
118867041382,2
118867040503,2
118867040007,2
118867040264,3
118867038333,2
118867036887,1
118867037007,2
118867037498,2
118867036948,1
118867037754,3
118867036605,3
118867035459,5
118867034269,2
118867032938,2
118867030915,6
118867031622,2
118867028646,2
118867029398,3
118867029770,2
118867026886,4
118867027259,5
118867026090,2
118867025702,3
118867022508,3
118867024898,7
118867024317,1
118867022838,4
118867018284,3
118867014898,3
118867016042,2
118867018967,2
118867019545,1
118867017445,4
118867016415,2
118867015217,1
118867013213,3
118867013132,2
118867012300,2
118867013091,2
118867011523,2
118867010888,2
118867008679,3
118867006949,2
118867006094,2
118867008529,3
118867006775,5
118867003864,3
118867004785,4
118867002893,1
118867002033,1
118867002447,2
118867000777,2
118866999088,4
118866997913,4
118866998775,4
118866997312,6
118866993456,2
118866994852,4
118866994419,1
118866996124,2
118866995343,3
118866994047,1
118866994425,2
118866992134,2
118866992596,2
118866990024,1
118866989350,2
118866989292,2
118866987521,3
118866987307,2
118866990134,3
118866986337,1
118866989972,4
118866984327,4
118866973987,3
118866983923,1
118866982200,1
118866983403,2
118866982535,2
118866979137,3
118866981859,5
118866981183,2
118866979933,2
118866979138,2
118866974650,2
118866975327,4
118866974083,2
118866974195,3
118866974381,4
118866975040,3
118866974076,2
118866973535,2
118866970685,1
118866971710,3
118866969397,2
118866968787,4
118866969369,3
118866968347,4
118866964905,3
118866959282,5
118866960887,5
118866963297,2
118866960088,2
118866962159,3
118866958232,2
118866959132,1
118866959416,3
118866953261,3
118866955618,2
118866957825,4
118866958454,2
118866956552,1
118866956915,3
118866955817,3
118866954185,3
118866951530,1
118866950613,3
118866948040,2
118866943584,2
118866946022,1
118866945395,4
118866942004,2
118866945099,3
118866946286,3
118866943931,1
118866943455,3
118866944075,1
118866943226,2
118866943215,3
118866943315,3
118866942164,2
118866944373,3
118866941933,4
118866940774,2
118866940556,4
118866936324,4
118866939705,3
118866938193,2
118866937507,3
118866935766,2
118866937898,2
118866936563,1
118866937146,2
118866934905,2
118866936667,2
118866935206,3
118866936450,3
118866935483,4
118866936312,1
118866935967,2
118866934557,2
118866935058,1
118866928634,1
118866933543,1
118866929307,3
118866933392,2
118866931995,1
118866934042,2
118866935000,2
118866933882,1
118866930245,1
118866930393,3
118866932976,4
118866931782,2
118866930866,3
118866931402,3
118866930240,2
118866930534,3
118866928259,3
118866931009,2
118866928820,2
118866930110,1
118866926962,4
118866926796,1
118866928003,1
118866928061,2
118866807581,4
118866331968,1
118866098373,1
118866070482,4
118866049453,4
118865993888,4
118865937239,2
118865545609,1
118865337253,2
118864902528,3
118864896513,2
118864429794,2
118864377677,1
118864359644,1
118864248189,3
118864149111,1
118864023864,2
118864004036,2
118863985701,2
118863934625,1
118863922119,4
118863893346,2
118863891002,1
118863872491,2
118863862058,2
118863784974,5
118863593040,5
118863567511,1
118863548745,1
118863432342,4
118863395010,3
118863368596,4
118863364986,3
118863351926,3
118863342592,4
118863331096,4
118863327593,1
118863326262,2
118863321869,4
118863315318,2
118752452689,2
118745041241,7
118745035969,1
118745035159,2
118728905344,2
118728041541,1
118725909916,2
118725489712,2
118725204330,3
118725167746,3
118725152865,3
118725110569,1
118723447559,1
118723237756,4
118722584838,2
118722351539,2
118721763559,3
118721723631,1
118721622091,3
118721620651,3
118721595224,1
118721556715,2
118721543449,2
118721499184,3
118721456430,4
118721400034,1
118721395041,2
118721391105,1
118721337485,2
118721331365,3
118721328556,2
118721197328,2
118721153752,2
118721125261,4
118721006467,3
118720956129,3
118720912499,2
118720905950,2
118720902903,2
118720900408,4
118720897761,4
118720897461,1
118720895378,1
118720891261,2
118720890752,1
118720890310,5
118720887674,2
118720887094,1
118720882393,4
118720881324,4
118720881244,1
118720880281,2
118720878032,3
118720876610,2
118720875003,4
118720874823,7
118720874594,7
118720874067,2
118720873582,4
118720873581,5
118720873448,2
118720872081,3
118720872071,3
118720869708,2
118720869178,2
118720868828,5
118720617197,3
118720359488,4
118720304414,5
118720210295,2
118720095220,2
118719940488,5
118719844221,2
118719800343,1
118719787450,3
118719777684,2
118719751123,2
118719745254,6
118719744912,3
118719740529,3
118719740378,3
118719731879,1
118719723990,7
118719722284,1
118719718843,2
118719706439,6
118719702607,2
118719701032,2
118719698162,2
118719690366,5
118719658084,4
118719657490,1
118719648913,4
118719640453,4
118719638341,3
118719632641,1
118719622185,4
118719618428,5
118719614056,4
118719609522,4
118719608146,2
118719600879,2
118719590338,1
118719585877,4
118719585430,5
118719583858,3
118719565260,3
118719560234,7
118719559146,3
118719554786,1
118719550176,3
118719549032,4
118719545936,3
118719545213,3
118719540468,6
118719539315,2
118719538617,2
118719538578,1
118719534721,2
118719536194,4
118718418410,4
118718417818,4
118717793319,3
