respondent_id,accommodation_type
118867014490,Wohnung (Miete)
118867103472,Haus (Miete)
118867106782,Wohnung (Miete)
118867102635,Wohnung (Eigentum)
118867095560,Haus (Eigentum)
118867093389,Wohnung (Miete)
118867085559,Wohnung (Eigentum)
118867081746,Wohnung (Miete)
118867081624,Wohnung (Miete)
118867080434,Wohnung (Miete)
118867074861,Wohnung (Miete)
118867075571,Wohnung (Miete)
118867072484,Wohnung (Miete)
118867062931,Wohnung (Miete)
118867061539,Wohnung (Miete)
118867060721,Wohnung (Miete)
118867051868,Wohnung (Miete)
118867051937,Wohnung (Miete)
118867049431,Wohnung (Miete)
118867048965,Wohnung (Miete)
118867015928,Wohnung (Eigentum)
118867045143,Wohnung (Miete)
118867046914,Wohnung (Eigentum)
118867037998,Wohnung (Miete)
118867044486,Wohnung (Miete)
118866955443,Wohnung (Miete)
118867044801,Wohnung (Miete)
118867044223,Wohnung (Miete)
118867043137,Wohnung (Miete)
118867044118,Haus (Eigentum)
118867043576,Wohnung (Miete)
118867041751,Haus (Miete)
118867040792,Wohnung (Miete)
118867041382,Wohnung (Miete)
118867040503,Wohnung (Miete)
118867040007,Wohnung (Miete)
118867040264,Wohnung (Miete)
118867038333,Wohnung (Miete)
118867036887,Wohnung (Miete)
118867037007,Haus (Miete)
118867037498,Wohnung (Miete)
118867036948,Wohnung (Miete)
118867037754,Wohnung (Miete)
118867036605,Wohnung (Miete)
118867035459,Wohnung (Miete)
118867034269,Haus (Eigentum)
118867032938,Haus (Miete)
118867030915,Wohnung (Miete)
118867031622,Haus (Eigentum)
118867028646,Wohnung (Miete)
118867029398,Wohnung (Miete)
118867029770,Wohnung (Miete)
118867026886,Haus (Eigentum)
118867027259,Haus (Miete)
118867026090,Wohnung (Miete)
118867025702,Haus (Eigentum)
118867022508,Wohnung (Miete)
118867024898,Haus (Miete)
118867024317,Wohnung (Miete)
118867022838,Haus (Miete)
118867018284,Wohnung (Eigentum)
118867014898,Wohnung (Miete)
118867016042,Wohnung (Miete)
118867018967,Wohnung (Miete)
118867019545,Wohnung (Miete)
118867017445,Wohnung (Miete)
118867016415,Wohnung (Miete)
118867015217,Haus (Eigentum)
118867013213,Haus (Eigentum)
118867013132,Wohnung (Miete)
118867012300,Wohnung (Miete)
118867013091,Wohnung (Miete)
118867011523,Wohnung (Miete)
118867010888,Wohnung (Miete)
118867008679,Wohnung (Miete)
118867006949,Haus (Eigentum)
118867006094,Haus (Eigentum)
118867008529,Wohnung (Miete)
118867006775,Wohnung (Eigentum)
118867003864,Wohnung (Miete)
118867004785,Wohnung (Miete)
118867002893,Wohnung (Miete)
118867002033,Wohnung (Miete)
118867002447,Haus (Eigentum)
118867000777,Wohnung (Eigentum)
118866999088,Haus (Eigentum)
118866997913,Haus (Miete)
118866998775,Wohnung (Miete)
118866997312,Wohnung (Eigentum)
118866993456,Wohnung (Miete)
118866994852,Wohnung (Miete)
118866994419,Wohnung (Miete)
118866996124,Wohnung (Miete)
118866995343,Haus (Miete)
118866994047,Wohnung (Miete)
118866994425,Wohnung (Miete)
118866992134,Wohnung (Miete)
118866992596,Haus (Eigentum)
118866990024,Wohnung (Miete)
118866989350,Wohnung (Miete)
118866989292,Wohnung (Miete)
118866987521,Wohnung (Miete)
118866987307,Haus (Eigentum)
118866990134,Wohnung (Eigentum)
118866986337,Wohnung (Miete)
118866989972,Wohnung (Eigentum)
118866984327,Haus (Eigentum)
118866973987,Wohnung (Eigentum)
118866983923,Wohnung (Miete)
118866982200,Wohnung (Miete)
118866983403,Wohnung (Eigentum)
118866982535,Wohnung (Miete)
118866979137,Wohnung (Miete)
118866981859,Wohnung (Miete)
118866981183,Wohnung (Miete)
118866979933,Wohnung (Miete)
118866979138,Wohnung (Miete)
118866974650,Haus (Eigentum)
118866975327,Haus (Eigentum)
118866974083,Haus (Eigentum)
118866974195,Wohnung (Miete)
118866974381,Haus (Eigentum)
118866975040,Wohnung (Miete)
