respondent_id,electricity_type
118867014490,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867103472,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867106782,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867102635,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867095560,Eine Mischung aus konventionellem Strom und Ökostrom
118867093389,Eine Mischung aus konventionellem Strom und Ökostrom
118867085559,Eine Mischung aus konventionellem Strom und Ökostrom
118867081746,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867081624,Weiss nicht
118867080434,Weiss nicht
118867074861,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867075571,Eine Mischung aus konventionellem Strom und Ökostrom
118867072484,Eine Mischung aus konventionellem Strom und Ökostrom
118867062931,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867061539,Eine Mischung aus konventionellem Strom und Ökostrom
118867060721,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867051868,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867051937,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867049431,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867048965,Weiss nicht
118867015928,Eine Mischung aus konventionellem Strom und Ökostrom
118867045143,Eine Mischung aus konventionellem Strom und Ökostrom
118867046914,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867037998,Eine Mischung aus konventionellem Strom und Ökostrom
118867044486,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118866955443,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867044801,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867044223,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867043137,Weiss nicht
118867044118,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867043576,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867041751,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867040792,Eine Mischung aus konventionellem Strom und Ökostrom
118867041382,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867040503,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867040007,Eine Mischung aus konventionellem Strom und Ökostrom
118867040264,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867038333,Eine Mischung aus konventionellem Strom und Ökostrom
118867036887,Eine Mischung aus konventionellem Strom und Ökostrom
118867037007,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867037498,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867036948,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867037754,Eine Mischung aus konventionellem Strom und Ökostrom
118867036605,Eine Mischung aus konventionellem Strom und Ökostrom
118867035459,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867034269,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867032938,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867030915,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867031622,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867028646,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867029398,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867029770,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867026886,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867027259,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867026090,Weiss nicht
118867025702,Eine Mischung aus konventionellem Strom und Ökostrom
118867022508,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867024898,Eine Mischung aus konventionellem Strom und Ökostrom
118867024317,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867022838,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867018284,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867014898,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867016042,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867018967,Eine Mischung aus konventionellem Strom und Ökostrom
118867019545,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867017445,Weiss nicht
118867016415,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867015217,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867013213,Eine Mischung aus konventionellem Strom und Ökostrom
118867013132,Weiss nicht
118867012300,Eine Mischung aus konventionellem Strom und Ökostrom
118867013091,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867011523,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867010888,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867008679,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867006949,Eine Mischung aus konventionellem Strom und Ökostrom
118867006094,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867008529,Eine Mischung aus konventionellem Strom und Ökostrom
118867006775,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867003864,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118867004785,Weiss nicht
118867002893,Eine Mischung aus konventionellem Strom und Ökostrom
118867002033,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867002447,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118867000777,Eine Mischung aus konventionellem Strom und Ökostrom
118866999088,Eine Mischung aus konventionellem Strom und Ökostrom
118866997913,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866998775,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118866997312,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866993456,Eine Mischung aus konventionellem Strom und Ökostrom
118866994852,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866994419,Eine Mischung aus konventionellem Strom und Ökostrom
118866996124,Weiss nicht
118866995343,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118866994047,Weiss nicht
118866994425,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118866992134,Weiss nicht
118866992596,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866990024,Eine Mischung aus konventionellem Strom und Ökostrom
118866989350,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118866989292,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866987521,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866987307,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866990134,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866986337,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866989972,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866984327,Eine Mischung aus konventionellem Strom und Ökostrom
118866973987,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866983923,Weiss nicht
118866982200,Weiss nicht
118866983403,Eine Mischung aus konventionellem Strom und Ökostrom
118866982535,Eine Mischung aus konventionellem Strom und Ökostrom
118866979137,Weiss nicht
118866981859,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866981183,Eine Mischung aus konventionellem Strom und Ökostrom
118866979933,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866979138,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866974650,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866975327,Eine Mischung aus konventionellem Strom und Ökostrom
118866974083,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866974195,Eine Mischung aus konventionellem Strom und Ökostrom
118866974381,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118866975040,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866974076,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866973535,Eine Mischung aus konventionellem Strom und Ökostrom
118866970685,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866971710,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866969397,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866968787,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866969369,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866968347,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866964905,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866959282,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118866960887,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866963297,Eine Mischung aus konventionellem Strom und Ökostrom
118866960088,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866962159,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118866958232,Weiss nicht
118866959132,Weiss nicht
118866959416,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866953261,Eine Mischung aus konventionellem Strom und Ökostrom
118866955618,Weiss nicht
118866957825,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118866958454,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866956552,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866956915,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866955817,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866954185,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866951530,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866950613,Eine Mischung aus konventionellem Strom und Ökostrom
118866948040,Weiss nicht
118866943584,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866946022,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866945395,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118866942004,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866945099,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866946286,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866943931,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866943455,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118866944075,Weiss nicht
