respondent_id,consequence
118867014490,Steigende Strompreise für Verbraucher
118867103472,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118867106782,
118867102635,Steigende Strompreise für Verbraucher
118867095560,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118867093389,Steigende Strompreise für Verbraucher
118867085559,Steigende Strompreise für Verbraucher
118867081746,Bedrohung der Rentabilität von Stromunternehmen
118867081624,Steigende Strompreise für Verbraucher
118867080434,Steigende Strompreise für Verbraucher
118867074861,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118867075571,Herausforderungen für die Stabilität der Netze
118867072484,Herausforderungen für die Stabilität der Netze
118867062931,Steigende Strompreise für Verbraucher
118867061539,Steigende Strompreise für Verbraucher
118867060721,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118867051868,Herausforderungen für die Stabilität der Netze
118867051937,Herausforderungen für die Stabilität der Netze
118867049431,Keine der genannten Konsequenzen ist problematisch
118867048965,Steigende Strompreise für Verbraucher
118867015928,Herausforderungen für die Stabilität der Netze
118867045143,Keine der genannten Konsequenzen ist problematisch
118867046914,Steigende Strompreise für Verbraucher
118867037998,Steigende Strompreise für Verbraucher
118867044486,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866955443,Steigende Strompreise für Verbraucher
118867044801,Steigende Strompreise für Verbraucher
118867044223,Steigende Strompreise für Verbraucher
118867043137,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118867044118,Steigende Strompreise für Verbraucher
118867043576,Steigende Strompreise für Verbraucher
118867041751,Bedrohung der Rentabilität von Stromunternehmen
118867040792,Herausforderungen für die Stabilität der Netze
118867041382,Bedrohung der Rentabilität von Stromunternehmen
118867040503,Keine der genannten Konsequenzen ist problematisch
118867040007,Steigende Strompreise für Verbraucher
118867040264,Steigende Strompreise für Verbraucher
118867038333,Steigende Strompreise für Verbraucher
118867036887,Steigende Strompreise für Verbraucher
118867037007,Herausforderungen für die Stabilität der Netze
118867037498,Steigende Strompreise für Verbraucher
118867036948,Herausforderungen für die Stabilität der Netze
118867037754,Bedrohung der Rentabilität von Stromunternehmen
118867036605,Steigende Strompreise für Verbraucher
118867035459,Bedrohung der Rentabilität von Stromunternehmen
118867034269,Steigende Strompreise für Verbraucher
118867032938,Steigende Strompreise für Verbraucher
118867030915,Steigende Strompreise für Verbraucher
118867031622,Herausforderungen für die Stabilität der Netze
118867028646,Herausforderungen für die Stabilität der Netze
118867029398,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118867029770,Steigende Strompreise für Verbraucher
118867026886,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118867027259,Bedrohung der Rentabilität von Stromunternehmen
118867026090,Herausforderungen für die Stabilität der Netze
118867025702,Steigende Strompreise für Verbraucher
118867022508,Herausforderungen für die Stabilität der Netze
118867024898,Steigende Strompreise für Verbraucher
118867024317,Herausforderungen für die Stabilität der Netze
118867022838,Bedrohung der Rentabilität von Stromunternehmen
118867018284,Herausforderungen für die Stabilität der Netze
118867014898,Steigende Strompreise für Verbraucher
118867016042,Steigende Strompreise für Verbraucher
118867018967,Steigende Strompreise für Verbraucher
118867019545,Herausforderungen für die Stabilität der Netze
118867017445,Bedrohung der Rentabilität von Stromunternehmen
118867016415,Bedrohung der Rentabilität von Stromunternehmen
118867015217,Steigende Strompreise für Verbraucher
118867013213,Bedrohung der Rentabilität von Stromunternehmen
118867013132,Keine der genannten Konsequenzen ist problematisch
118867012300,Keine der genannten Konsequenzen ist problematisch
118867013091,Bedrohung der Rentabilität von Stromunternehmen
118867011523,Bedrohung der Rentabilität von Stromunternehmen
118867010888,Steigende Strompreise für Verbraucher
118867008679,Steigende Strompreise für Verbraucher
118867006949,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118867006094,Bedrohung der Rentabilität von Stromunternehmen
118867008529,
118867006775,Bedrohung der Rentabilität von Stromunternehmen
118867003864,Bedrohung der Rentabilität von Stromunternehmen
118867004785,Bedrohung der Rentabilität von Stromunternehmen
118867002893,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118867002033,Bedrohung der Rentabilität von Stromunternehmen
118867002447,Steigende Strompreise für Verbraucher
118867000777,Herausforderungen für die Stabilität der Netze
118866999088,Herausforderungen für die Stabilität der Netze
118866997913,Steigende Strompreise für Verbraucher
118866998775,Steigende Strompreise für Verbraucher
118866997312,Steigende Strompreise für Verbraucher
118866993456,Herausforderungen für die Stabilität der Netze
118866994852,Keine der genannten Konsequenzen ist problematisch
118866994419,Steigende Strompreise für Verbraucher
118866996124,Steigende Strompreise für Verbraucher
118866995343,Steigende Strompreise für Verbraucher
118866994047,Steigende Strompreise für Verbraucher
118866994425,Steigende Strompreise für Verbraucher
118866992134,Steigende Strompreise für Verbraucher
118866992596,Steigende Strompreise für Verbraucher
118866990024,Herausforderungen für die Stabilität der Netze
118866989350,Herausforderungen für die Stabilität der Netze
118866989292,Herausforderungen für die Stabilität der Netze
118866987521,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866987307,Herausforderungen für die Stabilität der Netze
118866990134,
118866986337,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866989972,
118866984327,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866973987,Steigende Strompreise für Verbraucher
118866983923,Herausforderungen für die Stabilität der Netze
118866982200,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866983403,Herausforderungen für die Stabilität der Netze
118866982535,Steigende Strompreise für Verbraucher
118866979137,Steigende Strompreise für Verbraucher
118866981859,Keine der genannten Konsequenzen ist problematisch
118866981183,Herausforderungen für die Stabilität der Netze
118866979933,Herausforderungen für die Stabilität der Netze
118866979138,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866974650,Herausforderungen für die Stabilität der Netze
118866975327,Steigende Strompreise für Verbraucher
118866974083,Steigende Strompreise für Verbraucher
118866974195,Herausforderungen für die Stabilität der Netze
118866974381,Steigende Strompreise für Verbraucher
118866975040,Bedrohung der Rentabilität von Stromunternehmen
118866974076,Herausforderungen für die Stabilität der Netze
118866973535,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866970685,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866971710,Steigende Strompreise für Verbraucher
118866969397,Herausforderungen für die Stabilität der Netze
118866968787,Steigende Strompreise für Verbraucher
118866969369,Herausforderungen für die Stabilität der Netze
118866968347,Steigende Strompreise für Verbraucher
118866964905,Steigende Strompreise für Verbraucher
118866959282,Steigende Strompreise für Verbraucher
118866960887,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866963297,Steigende Strompreise für Verbraucher
118866960088,Steigende Strompreise für Verbraucher
118866962159,Steigende Strompreise für Verbraucher
118866958232,Steigende Strompreise für Verbraucher
118866959132,Steigende Strompreise für Verbraucher
118866959416,Steigende Strompreise für Verbraucher
118866953261,Herausforderungen für die Stabilität der Netze
118866955618,Bedrohung der Rentabilität von Stromunternehmen
118866957825,Steigende Strompreise für Verbraucher
118866958454,Steigende Strompreise für Verbraucher
118866956552,Herausforderungen für die Stabilität der Netze
118866956915,Steigende Strompreise für Verbraucher
118866955817,Steigende Strompreise für Verbraucher
118866954185,Steigende Strompreise für Verbraucher
118866951530,Herausforderungen für die Stabilität der Netze
118866950613,Steigende Strompreise für Verbraucher
118866948040,Steigende Strompreise für Verbraucher
118866943584,Herausforderungen für die Stabilität der Netze
118866946022,Steigende Strompreise für Verbraucher
118866945395,Steigende Strompreise für Verbraucher
118866942004,Bedrohung der Rentabilität von Stromunternehmen
118866945099,Steigende Strompreise für Verbraucher
118866946286,Bedrohung der Rentabilität von Stromunternehmen
118866943931,Steigende Strompreise für Verbraucher
118866943455,Steigende Strompreise für Verbraucher
118866944075,Herausforderungen für die Stabilität der Netze
118866943226,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866943215,Keine der genannten Konsequenzen ist problematisch
118866943315,Steigende Strompreise für Verbraucher
118866942164,Herausforderungen für die Stabilität der Netze
118866944373,
118866941933,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118866940774,Keine der genannten Konsequenzen ist problematisch
118866940556,Steigende Strompreise für Verbraucher
118866936324,Herausforderungen für die Stabilität der Netze
118866939705,Steigende Strompreise für Verbraucher
118866938193,Herausforderungen für die Stabilität der Netze
118866937507,Herausforderungen für die Stabilität der Netze
118866935766,Herausforderungen für die Stabilität der Netze
118866937898,Herausforderungen für die Stabilität der Netze
118866936563,Steigende Strompreise für Verbraucher
118866937146,Herausforderungen für die Stabilität der Netze
118866934905,Bedrohung der Rentabilität von Stromunternehmen
118866936667,Herausforderungen für die Stabilität der Netze
