respondent_id,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine,Staubsauger
118867014490,3,4,3,4,4,3
118867103472,4,5,3,5,5,5
118867106782,,,,,,
118867102635,2,4,3,4,4,4
118867095560,4,4,3,2,4,4
118867093389,3,3,4,5,5,3
118867085559,5,5,4,4,5,5
118867081746,3,4,3,2,4,3
118867081624,2,5,3,5,5,2
118867080434,4,5,5,5,5,5
118867074861,4,5,5,5,5,5
118867075571,4,5,2,4,4,4
118867072484,4,5,1,4,5,5
118867062931,3,2,3,3,1,2
118867061539,3,5,2,2,4,3
118867060721,3,5,2,4,3,3
118867051868,5,5,4,5,5,4
118867051937,5,5,5,5,5,5
118867049431,5,5,5,5,5,5
118867048965,4,5,4,4,4,4
118867015928,3,5,2,5,3,3
118867045143,1,3,5,5,1,1
118867046914,4,4,5,5,5,5
118867037998,3,3,1,3,5,3
118867044486,4,5,5,2,4,5
118866955443,3,2,1,4,3,3
118867044801,4,2,4,2,4,2
118867044223,1,5,5,3,5,4
118867043137,5,5,5,3,4,3
118867044118,5,4,4,4,5,5
118867043576,4,3,4,4,4,4
118867041751,5,5,5,5,5,5
118867040792,1,5,5,2,2,2
118867041382,3,3,3,4,4,3
118867040503,3,5,1,1,5,5
118867040007,5,5,4,5,5,4
118867040264,3,3,4,3,3,3
118867038333,3,5,4,4,5,3
118867036887,3,4,4,5,4,3
118867037007,4,5,4,4,4,4
118867037498,1,3,3,3,4,2
118867036948,3,4,5,5,3,4
118867037754,4,5,3,3,5,3
118867036605,3,5,5,2,5,4
118867035459,3,3,2,2,4,4
118867034269,2,4,4,4,3,3
118867032938,3,5,4,2,4,4
118867030915,5,5,5,2,5,5
118867031622,2,4,5,4,4,2
118867028646,4,5,4,3,5,3
118867029398,3,3,3,3,3,3
118867029770,1,2,2,3,2,2
118867026886,3,5,4,4,2,2
118867027259,4,5,4,3,5,5
118867026090,5,5,5,4,4,3
118867025702,5,5,5,5,5,5
118867022508,5,5,5,5,5,5
118867024898,5,5,3,2,5,3
118867024317,5,4,4,4,5,5
118867022838,4,5,3,4,5,4
118867018284,5,5,5,3,5,5
118867014898,4,5,4,3,5,4
118867016042,5,5,3,3,3,4
118867018967,5,5,1,3,5,5
118867019545,3,2,3,3,3,2
118867017445,5,4,5,3,5,3
118867016415,1,3,3,2,3,2
118867015217,4,4,4,4,5,4
118867013213,4,3,3,5,4,3
118867013132,1,4,5,5,2,3
118867012300,2,2,3,3,3,2
118867013091,5,5,2,5,5,4
118867011523,3,3,4,3,3,3
118867010888,3,3,3,3,3,3
118867008679,3,3,3,2,4,3
118867006949,3,5,4,3,4,4
118867006094,4,4,4,5,4,4
118867008529,,,,,,
118867006775,3,5,2,2,5,5
118867003864,3,3,4,4,4,4
118867004785,2,2,2,2,2,2
118867002893,1,5,3,2,5,4
118867002033,5,5,3,5,1,3
118867002447,2,3,2,3,4,3
118867000777,5,5,5,3,5,5
118866999088,1,4,4,4,1,3
118866997913,3,5,5,3,3,3
118866998775,5,5,5,5,5,5
118866997312,3,5,3,2,5,2
118866993456,2,3,4,4,2,3
118866994852,5,5,4,4,5,5
118866994419,2,5,2,4,3,2
118866996124,4,4,3,3,4,3
118866995343,3,5,1,3,5,5
118866994047,3,5,3,2,4,3
118866994425,3,4,4,3,5,3
118866992134,5,5,4,5,5,5
118866992596,4,3,4,3,2,2
118866990024,2,4,4,4,4,3
118866989350,5,4,3,5,5,4
118866989292,3,4,4,3,3,3
118866987521,1,5,4,4,3,3
118866987307,2,5,5,4,2,2
118866990134,,,,,,
118866986337,2,5,4,5,4,3
118866989972,,,,,,
118866984327,4,4,5,5,5,5
