respondent_id,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine,Staubsauger
118867014490,"Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden"
118867103472,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118867106782,,,,,,
118867102635,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867095560,"Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden"
118867093389,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867085559,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867081746,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118867081624,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867080434,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118867074861,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118867075571,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden"
118867072484,"Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden"
118867062931,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall"
