respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,switzerland_region_primary_regional_languages,collector_type_source,Wie alt sind Sie?,Was ist Ihr Geschlecht?,Wie viele Personen leben in Ihrem Haushalt?,In welcher Art von Unterkunft wohnen Sie?,,,,Welche Art von Strom beziehen Sie hauptsächlich?,"Denken Sie, dass die zunehmende Erzeugung erneuerbarer Energien Herausforderungen für das Stromsystem mit sich bringt? Wenn ja, welche?Falls Sie es nicht wissen, können Sie gerne ‚wn‘ (weiss nicht) schreiben.",Welche der folgenden Konsequenzen der zunehmenden Einspeisung von erneuerbaren Energien ist aus Ihrer Sicht problematisch? (Nur eine Antwort möglich)?,"Bitte bewerten Sie, wie wichtig es für Sie ist, die folgenden Haushaltsgeräte jederzeit nutzen zu können (1 = sehr unwichtig, 5 = sehr wichtig)",,,,,,"Könnten Sie sich vorstellen, eines der folgenden Haushaltsgeräte für einen begrenzten Zeitraum nicht einzuschalten, wenn Sie vom Elektrizitätswerk darum gebeten werden?",,,,,,"Würde sich Ihre Bereitschaft erhöhen, die folgenden Haushaltsgeräte nicht zu nutzen, wenn Sie dafür eine finanzielle Belohnung erhalten würden?",,,,,,,,,,,,"Könnten Sie sich vorstellen, von Ihrem Elektrizitätswerk benachrichtigt zu werden (z. B. per SMS oder App), wenn das Stromnetz stark ausgelastet ist?","Könnten Sie sich vorstellen, einen intelligenten Zwischenstecker (Smart Plug) an Ihren Geräten zu installieren, damit Ihr Elektrizitätswerk Ihren Beitrag messen und Sie entsprechend vergüten kann?",Wie hoch ist Ihr monatliches Haushaltsnettoeinkommen?,Was ist Ihr höchster Bildungsabschluss?,Welche der folgenden Parteien entspricht am ehesten Ihrer politischen Präferenz?,Gender,Age,Device
,,,,,,,,,,,Response,Response,Response,Wohnung (Eigentum),Wohnung (Miete),Haus (Miete),Haus (Eigentum),Response,Open-Ended Response,Response,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine,Staubsauger,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine,Staubsauger,"Geschirrspüler - Ja f, freiwilligJa +, mit Kompensationoder Nein","Geschirrspüler - Falls Ja, Stromkosten-Rabatt in Prozent","Backofen und Herd - Ja f, freiwilligJa +, mit Kompensationoder Nein","Backofen und Herd - Falls Ja, Stromkosten-Rabatt in Prozent","Fernseher und Entertainment-Systeme - Ja f, freiwilligJa +, mit Kompensationoder Nein","Fernseher und Entertainment-Systeme - Falls Ja, Stromkosten-Rabatt in Prozent","Bürogeräte - Ja f, freiwilligJa +, mit Kompensationoder Nein","Bürogeräte - Falls Ja, Stromkosten-Rabatt in Prozent","Waschmaschine - Ja f, freiwilligJa +, mit Kompensationoder Nein","Waschmaschine - Falls Ja, Stromkosten-Rabatt in Prozent","Staubsauger - Ja f, freiwilligJa +, mit Kompensationoder Nein","Staubsauger - Falls Ja, Stromkosten-Rabatt in Prozent",Response,Response,Response,Response,Response,,,
118867014490,460861130,05/16/2025 05:20:05 PM,05/16/2025 07:41:27 PM,,,,,125110fa21a4678b7e64cc6d42,,smc,35,Männlich,4,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),"Yes, the increasing generation of renewable energy does pose several challenges for the electricity system, despite its environmental benefits.1. Intermittency and Variability: Solar and wind energy depend on weather conditions, which can be unpredictable. 2. Grid Stability and Reliability: Traditional power systems rely on consistent input from fossil fuel plants.",Steigende Strompreise für Verbraucher,3,4,3,4,4,3,"Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, +",5%,"Ja, f",5%,"Ja, f",4%,"Ja, +",6%,"Ja, +",4%,"Ja, f",4%,,,,,,,,
118867103472,460861130,05/16/2025 07:06:18 PM,05/16/2025 07:12:03 PM,,,,,bfaf22223ca3d34d703ee081d4,386207,smc,49,Weiblich,2,,,Haus (Miete),,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),weiss nicht,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,4,5 = sehr wichtig,3,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, f",,"Ja, f",,"Ja, f",,"Ja, +",,"Ja, f",,Nein,,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),female,45_to_60,pc_windows
118867106782,458224841,05/16/2025 07:10:08 PM,05/16/2025 07:10:55 PM,213.55.184.63,,,,,,,29,Männlich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118867102635,460861130,05/16/2025 06:01:36 PM,05/16/2025 07:10:27 PM,,,,,fa5b4a9de7629c87c17f162025,386207,smc,20,Männlich,3,Wohnung (Eigentum),,,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),"Ja, aber ich denke es wird sich lohnen sobald es umgeändert ist",Steigende Strompreise für Verbraucher,2,4,3,4,4,4,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",10%,Nein,,"Ja, f",10%,Nein,,Nein,,"Ja, f",,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Sozialdemokratische Partei der Schweiz (SP),male,18_to_29,ios_mobile
118867095560,460861130,05/16/2025 06:56:46 PM,05/16/2025 07:01:06 PM,,,,,e5d0b68139c1668161310fc943,386207,smc,45,Männlich,6,,,,Haus (Eigentum),Eine Mischung aus konventionellem Strom und Ökostrom,Speicher bis er gebraucht wird,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,4,4,3,2,4,4,"Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, +",1%,Nein,,"Ja, f",2%,"Ja, +",10%,"Ja, f",30%,"Ja, f",40%,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),male,45_to_60,android_mobile
118867093389,460861130,05/16/2025 06:53:58 PM,05/16/2025 07:00:13 PM,,,,,1a3859779e52ee313c5970f322,386207,smc,59,Männlich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,"Ja, sicher neue Investitionen. ",Steigende Strompreise für Verbraucher,3,3,4,5 = sehr wichtig,5 = sehr wichtig,3,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",,5%,,2%,Nein,,Nein,,"Ja, +",,"Ja, f",,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Die Mitte,male,45_to_60,android_mobile
118867085559,460861130,05/16/2025 06:44:49 PM,05/16/2025 06:49:22 PM,,,,,106b66edc6018b0a5fe9b6550d,386207,smc,58,Männlich,4,Wohnung (Eigentum),,,,Eine Mischung aus konventionellem Strom und Ökostrom,Platz und mehr Aufklärung.,Steigende Strompreise für Verbraucher,5 = sehr wichtig,5 = sehr wichtig,4,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, +",,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),male,45_to_60,ios_mobile
118867081746,460861130,05/16/2025 06:00:58 PM,05/16/2025 06:47:01 PM,,,,,5205a8f64d83601b4e3e420e23,386207,smc,38,Männlich,6,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiß nicht ,Bedrohung der Rentabilität von Stromunternehmen,3,4,3,2,4,3,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,Nein,Ja,Unter 3.000 CHF,Grundschule,Keine Angabe,male,30_to_44,android_mobile
118867081624,460861130,05/16/2025 06:39:26 PM,05/16/2025 06:45:20 PM,,,,,d71e075b2f98e5f1a0e43951de,386207,smc,50,Weiblich,2,,Wohnung (Miete),,,Weiss nicht,"Schaden für Ökosystem, süss Wasser Knappheit, fehlt saubere Recykling",Steigende Strompreise für Verbraucher,2,5 = sehr wichtig,3,5 = sehr wichtig,5 = sehr wichtig,2,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",10%,"Ja, +",30%,"Ja, f",10%,"Ja, f",20%,"Ja, +",30%,"Ja, f",0%,Ja,Nein,Keine Angabe,Fachhochschule/Bachelor,Schweizerische Volkspartei (SVP),female,45_to_60,pc_windows
